id,gold,pred
1,vulnerable,vulnerable
2,safe,vulnerable
3,vulnerable,vulnerable
4,safe,vulnerable
5,vulnerable,vulnerable
6,safe,vulnerable
7,vulnerable,vulnerable
8,safe,vulnerable
9,vulnerable,vulnerable
10,safe,vulnerable
11,vulnerable,vulnerable
12,safe,vulnerable
13,vulnerable,vulnerable
14,safe,vulnerable
15,vulnerable,vulnerable
16,safe,vulnerable
17,vulnerable,vulnerable
18,safe,vulnerable
19,vulnerable,vulnerable
20,safe,vulnerable
21,vulnerable,vulnerable
22,safe,vulnerable
23,vulnerable,vulnerable
24,safe,vulnerable
25,vulnerable,vulnerable
26,vulnerable,vulnerable
27,safe,vulnerable
28,vulnerable,vulnerable
29,safe,vulnerable
30,vulnerable,vulnerable
31,safe,vulnerable
32,vulnerable,vulnerable
33,safe,vulnerable
34,vulnerable,vulnerable
35,safe,vulnerable
36,vulnerable,vulnerable
37,safe,vulnerable
38,vulnerable,vulnerable
39,safe,vulnerable
40,vulnerable,vulnerable
41,safe,vulnerable
42,vulnerable,vulnerable
43,safe,vulnerable
44,vulnerable,vulnerable
45,safe,vulnerable
46,vulnerable,vulnerable
47,safe,vulnerable
48,vulnerable,vulnerable
49,safe,vulnerable
50,vulnerable,vulnerable
51,vulnerable,vulnerable
52,safe,vulnerable
53,vulnerable,vulnerable
54,safe,vulnerable
55,vulnerable,vulnerable
56,safe,safe
57,vulnerable,vulnerable
58,safe,vulnerable
59,vulnerable,vulnerable
60,safe,vulnerable
61,vulnerable,vulnerable
62,safe,vulnerable
63,vulnerable,vulnerable
64,safe,safe
65,vulnerable,safe
66,safe,safe
67,vulnerable,vulnerable
68,safe,safe
69,vulnerable,vulnerable
70,safe,vulnerable
71,vulnerable,vulnerable
72,safe,vulnerable
73,vulnerable,vulnerable
74,safe,vulnerable
75,vulnerable,vulnerable
76,vulnerable,vulnerable
77,safe,vulnerable
78,vulnerable,vulnerable
79,safe,vulnerable
80,vulnerable,vulnerable
81,safe,vulnerable
82,vulnerable,vulnerable
83,safe,vulnerable
84,vulnerable,vulnerable
85,safe,vulnerable
86,vulnerable,vulnerable
87,request.args['path'])).read(),vulnerable
88,vulnerable,vulnerable
89,safe,vulnerable
90,vulnerable,vulnerable
91,safe,vulnerable
92,vulnerable,vulnerable
93,safe,vulnerable
94,vulnerable,vulnerable
95,safe,vulnerable
96,vulnerable,vulnerable
97,vulnerable,vulnerable
98,safe,vulnerable
99,safe,safe
100,vulnerable,vulnerable
